1, The Straw Hut, [1, 0, 0, 2], 1, 6
2, The Wooden Shack, [0, 1, 1, 0], 0, 8
3, The Grain Silo, [0, 2, 3, 1], 3, 12
4, The Stone Bridge, [2, 0, 1, 0], 1, 6
5, The Wash House, [0, 1, 0, 2], 1, 6
6, The Chapel, [3, 2, 2, 3], 5, 18
7, The Aqueduct, [5, 2, 5, 0], 6, 20
8, The Pigsty, [0, 2, 2, 2], 3, 12
9, The Covered Market, [0, 3, 2, 3], 4, 16
10, The Hotel, [1, 3, 3, 1], 4, 16
11, The Townhouse, [2, 0, 2, 1], 2, 10
12, The Church, [4, 0, 2, 4], 5, 18
13, The Inn, [2, 1, 1, 2], 3, 12
14, The Rural Relay, [0, 3, 1, 2], 3, 12
15, The Treehouse, [0, 2, 1, 0], 1, 6
16, The Cowshed, [0, 1, 2, 3], 3, 12
17, The Cottage, [0, 2, 1, 2], 2, 10
18, The Bourgeois House, [2, 2, 2, 2], 4, 16
19, The Stables, [0, 3, 1, 3], 3, 14
20, The Forge, [2, 2, 0, 3], 3, 14
21, The Rural House, [1, 2, 1, 1], 2, 10
22, The Castle, [5, 3, 5, 3], 7, 20
23, The Farm, [4, 2, 0, 2], 4, 16
24, The Covered Bridge, [0, 1, 2, 0], 1, 6
25, The Cloister, [4, 2, 4, 0], 5, 18
26, The Watchtower, [3, 3, 2, 2], 5, 18
27, The Windmill, [3, 0, 3, 1], 3, 14
28, The House, [2, 1, 0, 2], 2, 10
29, The Cathedral, [5, 4, 4, 4], 8, 20
30, The Watermill, [0, 2, 3, 2], 3, 14
31, The Abbey, [4, 3, 2, 1], 5, 18
32, The Post, [3, 1, 2, 2], 4, 16
33, The Tavern, [1, 3, 1, 3], 4, 16
34, The Bower, [1, 0, 0, 1], 0, 8
