1, Craftsman, [0, 0, 2, 2], 4
2, Craftsman, [2, 2, 0, 0], 4
3, Craftsman, [2, 0, 2, 0], 4
4, Craftsman, [1, 0, 2, 1], 4
5, Laborer, [2, 1, 0, 0], 3
6, Craftsman, [0, 2, 0, 2], 4
7, Apprentice, [1, 1, 0, 0], 2
8, Apprentice, [0, 1, 0, 1], 2
9, Master, [0, 2, 3, 0], 5
10, Apprentice, [1, 0, 0, 1], 2
11, Master, [2, 0, 0, 3], 5
12, Apprentice, [0, 1, 1, 0], 2
13, Apprentice, [0, 0, 1, 1], 2
14, Master, [3, 2, 0, 0], 5
15, Apprentice, [1, 0, 1, 0], 2
16, Master, [0, 0, 2, 3], 5
17, Master, [0, 0, 3, 2], 5
18, Laborer, [0, 1, 2, 0], 3
19, Laborer, [0, 0, 2, 1], 3
20, Laborer, [0, 1, 0, 2], 3
21, Laborer, [1, 0, 0, 2], 3
22, Craftsman, [2, 1, 1, 0], 4
23, Master, [2, 3, 0, 0], 5
24, Craftsman, [0, 3, 0, 1], 4
25, Laborer, [1, 0, 2, 0], 3
26, Craftsman, [0, 2, 2, 0], 4
27, Laborer, [2, 0, 1, 0], 3
28, Craftsman, [1, 1, 1, 1], 4
29, Craftsman, [0, 0, 1, 3], 4
30, Laborer, [1, 2, 0, 0], 3
31, Laborer, [0, 0, 1, 2], 3
32, Craftsman, [0, 1, 1, 2], 4
33, Craftsman, [1, 2, 0, 1], 4
34, Laborer, [0, 2, 0, 1], 3
35, Laborer, [2, 0, 0, 1], 3
36, Master, [3, 0, 0, 2], 5
37, Craftsman, [3, 1, 0, 0], 4
38, Craftsman, [1, 1, 1, 1], 4
39, Master, [0, 3, 2, 0], 5
40, Craftsman, [1, 0, 3, 0], 4
41, Laborer, [0, 2, 1, 0], 3
42, Craftsman, [2, 0, 0, 2], 4
